mun_resid,count
Abasolo,1
Acámbaro,15
Apaseo el Alto,3
Apaseo el Grande,4
Atarjea,0
Celaya,39
Comonfort,8
Coroneo,2
Cortazar,9
Cuerámaro,1
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,12
Guanajuato,26
Huanímaro,1
Irapuato,45
Jaral del Progreso,6
Jerécuaro,2
León,138
Manuel Doblado,5
Moroleón,7
Municipio no especificado,0
Ocampo,1
Pueblo Nuevo,0
Purísima del Rincón,6
Pénjamo,5
Romita,3
Salamanca,17
Salvatierra,6
San Diego de la Unión,0
San Felipe,11
San Francisco del Rincón,12
San José Iturbide,8
San Luis de la Paz,12
San Miguel de Allende,21
Santa Catarina,1
Santa Cruz de Juventino Rosas,12
Santiago Maravatío,2
Silao de la Victoria,12
Tarandacuao,1
Tarimoro,5
Tierra Blanca,0
Uriangato,6
Valle de Santiago,11
Victoria,4
Villagrán,7
Xichú,0
Yuriria,5
