mun_resid,count
Abasolo,5
Acámbaro,11
Apaseo el Alto,6
Apaseo el Grande,7
Atarjea,0
Celaya,41
Comonfort,6
Coroneo,0
Cortazar,14
Cuerámaro,4
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,6
Guanajuato,13
Huanímaro,3
Irapuato,42
Jaral del Progreso,5
Jerécuaro,1
León,112
Manuel Doblado,1
Moroleón,7
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,2
Purísima del Rincón,7
Pénjamo,11
Romita,2
Salamanca,18
Salvatierra,8
San Diego de la Unión,2
San Felipe,4
San Francisco del Rincón,13
San José Iturbide,5
San Luis de la Paz,6
San Miguel de Allende,17
Santa Catarina,0
Santa Cruz de Juventino Rosas,7
Santiago Maravatío,0
Silao de la Victoria,14
Tarandacuao,1
Tarimoro,3
Tierra Blanca,1
Uriangato,3
Valle de Santiago,0
Victoria,1
Villagrán,3
Xichú,0
Yuriria,10
