mun_resid,count
Abasolo,2
Acámbaro,6
Apaseo el Alto,3
Apaseo el Grande,10
Atarjea,0
Celaya,57
Comonfort,9
Coroneo,0
Cortazar,10
Cuerámaro,0
Doctor Mora,2
Dolores Hidalgo Cuna de la Independencia Nacional,8
Guanajuato,22
Huanímaro,0
Irapuato,40
Jaral del Progreso,6
Jerécuaro,4
León,157
Manuel Doblado,2
Moroleón,1
Municipio no especificado,0
Ocampo,2
Pueblo Nuevo,0
Purísima del Rincón,9
Pénjamo,11
Romita,4
Salamanca,16
Salvatierra,8
San Diego de la Unión,4
San Felipe,4
San Francisco del Rincón,11
San José Iturbide,7
San Luis de la Paz,7
San Miguel de Allende,16
Santa Catarina,0
Santa Cruz de Juventino Rosas,11
Santiago Maravatío,0
Silao de la Victoria,16
Tarandacuao,0
Tarimoro,4
Tierra Blanca,2
Uriangato,8
Valle de Santiago,10
Victoria,1
Villagrán,6
Xichú,1
Yuriria,7
